Latitude,Longitude,Number,Street,City,State,Zip,Base Elevation,Height
39.976789,-75.164189,1711,Jefferson St,Philadelphia,PA,19121,105.4,20
39.977543,-75.163688,1543,N Bouvier St,Philadelphia,PA,19121,107.5,30
39.977504,-75.163702,1541,N Bouvier St,Philadelphia,PA,19121,107.7,30
39.977588,-75.16368,1545,N Bouvier St,Philadelphia,PA,19121,107.2,30
39.977466,-75.163712,1539,N Bouvier St,Philadelphia,PA,19121,107.8,30
39.977071,-75.163454,1516,N 17th St,Philadelphia,PA,19121,107.4,40
39.977501,-75.163377,1530,N 17th St,Philadelphia,PA,19121,106.4,40
39.977435,-75.163392,1528,N 17th St,Philadelphia,PA,19121,106.3,40
39.977792,-75.163668,1716,W Oxford St,Philadelphia,PA,19121,105.6,40
39.977759,-75.163418,1708,W Oxford St,Philadelphia,PA,19121,105,40
39.977639,-75.16367,1547,N Bouvier St,Philadelphia,PA,19121,107.1,30
39.977347,-75.163716,1533,N Bouvier St,Philadelphia,PA,19121,108.5,30
39.977305,-75.163732,1531,N Bouvier St,Philadelphia,PA,19121,108.5,30
39.977262,-75.16374,1529,N Bouvier St,Philadelphia,PA,19121,108.5,30
39.97739,-75.163727,1535,N Bouvier St,Philadelphia,PA,19121,108.2,30
39.976902,-75.16349,1510,N 17th St,Philadelphia,PA,19121,108.2,40
39.976844,-75.163501,1508,N 17th St,Philadelphia,PA,19121,108.5,40
39.977732,-75.163213,1534,N 17th St,Philadelphia,PA,19121,104.6,20
39.977583,-75.163362,1532,N 17th St,Philadelphia,PA,19121,105.8,40
39.976814,-75.164385,1715,Jefferson St,Philadelphia,PA,19121,104.7,30
39.977897,-75.164492,1738,W Oxford St,Philadelphia,PA,19121,107.9,30
39.977888,-75.164422,1736,W Oxford St,Philadelphia,PA,19121,108.3,30
39.977879,-75.164357,1734,W Oxford St,Philadelphia,PA,19121,108.2,30
39.976609,-75.163549,1500,N 17th St,Philadelphia,PA,19121,108.2,40
40.012329,-75.185853,3351,Vaux St,Philadelphia,PA,19129,188.8,30
40.012362,-75.185892,3353,Vaux St,Philadelphia,PA,19129,191.1,30
40.012397,-75.185931,3355,Vaux St,Philadelphia,PA,19129,191.1,30
40.012425,-75.185975,3357,Vaux St,Philadelphia,PA,19129,190.8,30
40.012459,-75.18601,3359,Vaux St,Philadelphia,PA,19129,190.5,30
40.012492,-75.18605,3361,Vaux St,Philadelphia,PA,19129,190.6,30
40.012545,-75.185781,3349,Indian Queen Ln,Philadelphia,PA,19129,193.2,30
40.012524,-75.186089,3363,Vaux St,Philadelphia,PA,19129,190.5,30
40.012558,-75.186126,3365,Vaux St,Philadelphia,PA,19129,190.1,30
40.012589,-75.18617,3367,Vaux St,Philadelphia,PA,19129,190,30
40.012618,-75.185669,3345,Indian Queen Ln,Philadelphia,PA,19129,196.3,30
40.012621,-75.18621,3369,Vaux St,Philadelphia,PA,19129,189.9,30
40.012655,-75.185616,3343,Indian Queen Ln,Philadelphia,PA,19129,197.6,30
40.01265,-75.18625,3371,Vaux St,Philadelphia,PA,19129,189.6,30
40.012692,-75.185562,3341,Indian Queen Ln,Philadelphia,PA,19129,198.4,30
40.012683,-75.186286,3373,Vaux St,Philadelphia,PA,19129,189,30
40.012728,-75.185509,3339,Indian Queen Ln,Philadelphia,PA,19129,199.5,30
40.01272,-75.186328,3375,Vaux St,Philadelphia,PA,19129,187,30
40.012764,-75.185455,3337,Indian Queen Ln,Philadelphia,PA,19129,199.8,30
40.012754,-75.186045,3360,Bowman St,Philadelphia,PA,19129,192.2,30
40.012783,-75.186002,3358,Bowman St,Philadelphia,PA,19129,192.4,30
40.012802,-75.185401,3335,Indian Queen Ln,Philadelphia,PA,19129,201,30
40.012811,-75.18596,3356,Bowman St,Philadelphia,PA,19129,193.9,30
40.012838,-75.185347,3333,Indian Queen Ln,Philadelphia,PA,19129,201.7,30
40.012838,-75.185917,3354,Bowman St,Philadelphia,PA,19129,193.7,30
40.012868,-75.185876,3352,Bowman St,Philadelphia,PA,19129,194.9,30
40.012898,-75.185831,3350,Bowman St,Philadelphia,PA,19129,195.2,30
40.012911,-75.18524,3329,Indian Queen Ln,Philadelphia,PA,19129,203.7,30
40.012947,-75.185187,3327,Indian Queen Ln,Philadelphia,PA,19129,204.3,30
40.012928,-75.185788,3348,Bowman St,Philadelphia,PA,19129,195.4,30
40.012958,-75.185744,3346,Bowman St,Philadelphia,PA,19129,196.5,30
40.012984,-75.185135,3325,Indian Queen Ln,Philadelphia,PA,19129,205.6,30
40.012986,-75.185703,3344,Bowman St,Philadelphia,PA,19129,196.7,30
40.01302,-75.185081,3323,Indian Queen Ln,Philadelphia,PA,19129,206.1,30
40.013013,-75.185662,3342,Bowman St,Philadelphia,PA,19129,197.7,30
40.013056,-75.185028,3321,Indian Queen Ln,Philadelphia,PA,19129,206.4,30
40.013043,-75.18562,3340,Bowman St,Philadelphia,PA,19129,198.5,30
40.013072,-75.185578,3338,Bowman St,Philadelphia,PA,19129,199.3,30
40.013101,-75.185534,3336,Bowman St,Philadelphia,PA,19129,199.6,30
40.013129,-75.184923,3317,Indian Queen Ln,Philadelphia,PA,19129,208.6,30
40.01313,-75.185491,3334,Bowman St,Philadelphia,PA,19129,200.5,30
40.013165,-75.184869,3315,Indian Queen Ln,Philadelphia,PA,19129,209.3,30
40.01316,-75.185449,3332,Bowman St,Philadelphia,PA,19129,200.8,30
40.013189,-75.185405,3330,Bowman St,Philadelphia,PA,19129,202,30
40.013203,-75.184816,3313,Indian Queen Ln,Philadelphia,PA,19129,210.3,30
40.013219,-75.185363,3328,Bowman St,Philadelphia,PA,19129,202.1,30
40.01324,-75.18476,3311,Indian Queen Ln,Philadelphia,PA,19129,211.3,30
40.013248,-75.18532,3326,Bowman St,Philadelphia,PA,19129,203.1,30
40.013277,-75.184708,3309,Indian Queen Ln,Philadelphia,PA,19129,212,30
39.981191,-75.163588,1733,W Montgomery Ave,Philadelphia,PA,19121,104.9,50
39.981175,-75.163463,1729,W Montgomery Ave,Philadelphia,PA,19121,104.4,40
39.981183,-75.163526,1731,W Montgomery Ave,Philadelphia,PA,19121,104.9,40
39.981399,-75.163597,1805,N 18th St,Philadelphia,PA,19121,104.9,40
39.981353,-75.163605,1803,N 18th St,Philadelphia,PA,19121,104.6,30
39.982418,-75.163364,1849,N 18th St,Philadelphia,PA,19121,98.1,40
39.981166,-75.1634,1727,W Montgomery Ave,Philadelphia,PA,19121,104.3,40
39.981538,-75.163566,1811,N 18th St,Philadelphia,PA,19121,103.5,40
39.981585,-75.163556,1813,N 18th St,Philadelphia,PA,19121,103.1,40
39.981632,-75.163545,1815,N 18th St,Philadelphia,PA,19121,102.9,30
39.981216,-75.163776,1739,W Montgomery Ave,Philadelphia,PA,19121,105,40
39.982279,-75.163396,1843,N 18th St,Philadelphia,PA,19121,98.9,40
39.982377,-75.163044,1850,N Bouvier St,Philadelphia,PA,19121,101,30
39.982186,-75.163414,1839,N 18th St,Philadelphia,PA,19121,99.4,40
39.982049,-75.163453,1833,N 18th St,Philadelphia,PA,19121,100.6,40
39.982094,-75.163433,1835,N 18th St,Philadelphia,PA,19121,100.2,40
39.982002,-75.163464,1831,N 18th St,Philadelphia,PA,19121,100.7,40
39.98214,-75.163425,1837,N 18th St,Philadelphia,PA,19121,99.7,40
39.98177,-75.163515,1821,N 18th St,Philadelphia,PA,19121,102,30
39.981816,-75.163504,1823,N 18th St,Philadelphia,PA,19121,102.1,30
39.981909,-75.163484,1827,N 18th St,Philadelphia,PA,19121,101.9,30
39.981863,-75.163494,1825,N 18th St,Philadelphia,PA,19121,101.9,30
39.981482,-75.163248,1808,N Bouvier St,Philadelphia,PA,19121,105.1,30
39.981438,-75.163258,1806,N Bouvier St,Philadelphia,PA,19121,104.9,30
39.981394,-75.163267,1804,N Bouvier St,Philadelphia,PA,19121,104.7,30
39.981738,-75.163191,1820,N Bouvier St,Philadelphia,PA,19121,105.3,30
39.981352,-75.163276,1802,N Bouvier St,Philadelphia,PA,19121,104.5,30
39.981309,-75.163287,1800,N Bouvier St,Philadelphia,PA,19121,104.1,30
39.981696,-75.1632,1818,N Bouvier St,Philadelphia,PA,19121,105.5,30
39.981952,-75.163144,1830,N Bouvier St,Philadelphia,PA,19121,104.3,30
39.981866,-75.163164,1826,N Bouvier St,Philadelphia,PA,19121,104.8,30
39.981994,-75.163134,1832,N Bouvier St,Philadelphia,PA,19121,104,30
39.982035,-75.163119,1834,N Bouvier St,Philadelphia,PA,19121,103.9,30
39.98161,-75.16322,1814,N Bouvier St,Philadelphia,PA,19121,105.8,30
39.981909,-75.163154,1828,N Bouvier St,Philadelphia,PA,19121,104.4,30
39.982205,-75.163082,1842,N Bouvier St,Philadelphia,PA,19121,103.1,30
